station,number,line
Krung Thep Apiwat,1,Center
Chatuchak,2,North Red
Samien Nari,3,North Red
Bang Khen,4,North Red
Thung Song Hong,5,North Red
Lak Si,6,North Red
Kan Kheha,7,North Red
Don Muang,8,North Red
Lak Hok,9,North Red
Rang Sit,10,North Red
Khlong Nueng,11,North Red
Bangkok University,12,North Red
Chiang Rak,13,North Red
Thammasat University,14,North Red
Nawa Nakhon,15,North Red
Chiang Rak Noi,16,North Red
Bang Pa In,17,North Red
Ban Pho,18,North Red
Ayutthaya,19,North Red
Ban Ma,20,North Red
Mab Pra Chan,21,North Red
Phra Kaeo,22,North Red
Ban Pachee,23,North Red
Sam Sen,2,South Red
Ratchawithi Junction,3,South Red
Yommarat,4,South Red
Yot Se,5,South Red
Hua Lam Phong,6,South Red
Khlong San,7,South Red
Wong Wian Yai,8,South Red
Talat Phlu,9,South Red
Wutthakat,10,South Red
Nang Nong,11,South Red
Ekkachai 10,12,South Red
Wat Sai,13,South Red
Wat Singha,14,South Red
Ekkachai 48,15,South Red
Bang Bon Market,16,South Red
Ekkachai 76,17,South Red
Wong Waen,18,South Red
Bangbon 3,19,South Red
Bangbon 5,20,South Red
Wat Pho Jae,21,South Red
Rama II,22,South Red
Wat Ban Khom,23,South Red
Ekkachai Hospital,24,South Red
Mahachai,25,South Red
Samut Sakhon Industrial Park,26,South Red
Khlong Kan Phanang,27,South Red
Khlong Ta Kham,28,South Red
Ban Bo,29,South Red
Bang To Rad,30,South Red
Ban Ka Long,31,South Red
Ban Na Khwang,32,South Red
Ban Na Khok,33,South Red
Ban Khet Mueang,34,South Red
Lat Yai,35,South Red
Bang Ta Boon,36,South Red
Mae Klong,37,South Red
Bang Khan Thong,38,South Red
Plai Phong Phang,39,South Red
Wat Phleng,40,South Red
Pak Tho,41,South Red
