hv_bus;lv_bus;r_pu;x_pu;vkv_base;vn_lv_kv;smva_base;pfe_kw;i0_percent;vk_percent;vkr_percent
25;26;0.00192;0.1001316;66;11;11.25;0;0;10.015;0.27
1;27;0.00133333;0.1001411;66;11;6;0;0;10.015;0.27
2;28;0.0008;0.1001468;66;11;10;0;0;10.015;0.27
3;29;0.0005;0.1001488;66;11;16;0;0;10.015;0.27
4;30;0.00519429;0.1000152;66;11;17.5;0;0;10.015;0.27
5;31;0.0008;0.1001468;66;11;10;0;0;10.015;0.27
6;32;0.00126984;0.100142;66;11;6.3;0;0;10.015;0.27
7;33;0.0013333;0.1001411;66;11;6;0;0;10.015;0.27
8;34;0.00126984;0.100142;66;11;6.3;0;0;10.015;0.27
9;35;0.0008;0.1001468;66;11;10;0;0;10.015;0.27
10;36;0.0004;0.1001492;66;11;20;0;0;10.015;0.27
11;37;0.0005;0.1001488;66;11;16;0;0;10.015;0.27
12;38;0.0004;0.1001492;66;11;20;0;0;10.015;0.27
13;39;0.0008;0.1001468;66;11;10;0;0;10.015;0.27
14;40;0.00108;0.1001442;66;11;20;0;0;10.015;0.27
15;41;0.0004;0.1001492;66;11;20;0;0;10.015;0.27
16;42;0.00108;0.1001442;66;11;20;0;0;10.015;0.27
17;43;0.0004;0.1001492;66;11;20;0;0;10.015;0.27
18;44;0.001728;0.1001351;66;11;12.5;0;0;10.015;0.27
19;45;0.00216;0.1001267;66;11;10;0;0;10.015;0.27
20;46;0.00068571;0.1001477;66;11;31.5;0;0;10.015;0.27
21;47;0.00108;0.1001442;66;11;20;0;0;10015;0.27
0;24;0.00256;0.121573;165;67;160;43.5;0.054;12.16;0.256
