Function,Calls,Total Time,Total CPU,Total Memory,Total GPU,Total IO,Avg Duration,Avg CPU Usage,Avg Memory Usage,Avg GPU Usage,Avg IO Usage,Slowest Args
rich.update,48,0.110247,0.109837,0.000000,0.000000,0.000000,0.002297,0.002288,0.000000,0.000000,0.000000,
stream,6,26.188094,0.538065,45.687500,0.000000,913.605469,4.364682,0.089678,7.614583,0.000000,152.267578,
"### mpypip
",1,0.001833,0.001834,-0.007812,0.000000,0.000000,0.001833,0.001834,-0.007812,0.000000,0.000000,
- **name**:,1,0.002020,0.002019,1.148438,0.000000,0.250000,0.002020,0.002019,1.148438,0.000000,0.250000,
  - mpypip,1,0.002057,0.002056,1.500000,0.000000,0.250000,0.002057,0.002056,1.500000,0.000000,0.250000,
- **version**:,1,0.001663,0.001660,0.000000,0.000000,0.250000,0.001663,0.001660,0.000000,0.000000,0.250000,
  - 0.0.13,1,0.002007,0.002006,0.179688,0.000000,0.000000,0.002007,0.002006,0.179688,0.000000,0.000000,
- **summary**:,1,0.002008,0.002007,-0.007812,0.000000,0.250000,0.002008,0.002007,-0.007812,0.000000,0.250000,
  - Install and manage pyproject.toml with pip commands.,1,0.001873,0.001872,-0.007812,0.000000,0.000000,0.001873,0.001872,-0.007812,0.000000,0.000000,
- **downloads**:,1,0.001881,0.001880,0.339844,0.000000,0.250000,0.001881,0.001880,0.339844,0.000000,0.250000,
  - 0,1,0.001831,0.001831,2.500000,0.000000,0.250000,0.001831,0.001831,2.500000,0.000000,0.250000,
- **urls**:,1,0.001969,0.001974,0.000000,0.000000,0.250000,0.001969,0.001974,0.000000,0.000000,0.250000,
  - **Documentation**:,1,0.001932,0.001931,0.492188,0.000000,0.250000,0.001932,0.001931,0.492188,0.000000,0.250000,
    - https://github.com/mbodiai/mpypip#readme,1,0.002146,0.002146,-0.500000,0.000000,0.250000,0.002146,0.002146,-0.500000,0.000000,0.250000,
  - **Issues**:,1,0.002613,0.002611,1.000000,0.000000,0.250000,0.002613,0.002611,1.000000,0.000000,0.250000,
    - https://github.com/mbodiai/mpypip/issues,1,0.002289,0.002288,-0.500000,0.000000,0.250000,0.002289,0.002288,-0.500000,0.000000,0.250000,
  - **Source**:,1,0.002712,0.002711,0.000000,0.000000,0.500000,0.002712,0.002711,0.000000,0.000000,0.500000,
    - https://github.com/mbodiai/mpypip,1,0.002488,0.002487,0.000000,0.000000,0.500000,0.002488,0.002487,0.000000,0.000000,0.500000,
- **github_url**:,1,0.002865,0.002862,4.000000,0.000000,0.250000,0.002865,0.002862,4.000000,0.000000,0.250000,
  - https://github.com/mbodiai/mpypip#readme,1,0.002364,0.002364,0.191406,0.000000,0.250000,0.002364,0.002364,0.191406,0.000000,0.250000,
